b,a,phase noise
29,26,-84.82805354
31,26,-85.03932226
33,26,-85.16433392
35,26,-85.3608142
37,26,-85.5188924
39,26,-85.67700022
1,28,-82.53516565
3,28,-81.64827003
5,28,-81.8786495
7,28,-82.19282962
9,28,-82.56099835
11,28,-82.88640204
13,28,-83.20121677
15,28,-83.46717543
17,28,-83.67728351
19,28,-83.92754228
21,28,-84.20184062
23,28,-84.36000853
25,28,-84.58176098
27,28,-84.77763831
29,28,-84.94876565
31,28,-85.12760062
33,28,-85.29174271
35,28,-85.45662788
37,28,-85.62903042
39,28,-85.77965191
1,30,-82.77505143
3,30,-82.02418072
5,30,-82.10394812
7,30,-82.43618831
9,30,-82.80956143
11,30,-83.06925836
13,30,-83.31775928
15,30,-83.578919
17,30,-83.887841
19,30,-84.05957816
21,30,-84.34130249
23,30,-84.53988303
25,30,-84.7040288
27,30,-84.89068806
29,30,-85.07688147
31,30,-85.23887493
33,30,-85.40276423
35,30,-85.55495767
37,30,-85.71702117
39,30,-85.86745604
1,32,-83.1060898
3,32,-82.20055525
5,32,-82.36130817
7,32,-82.57643409
9,32,-82.96326991
11,32,-83.21623421
13,32,-83.47194525
15,32,-83.80868499
17,32,-84.06685497
19,32,-84.20879639
21,32,-84.44509435
23,32,-84.61033752
25,32,-84.82481777
27,32,-84.9871427
29,32,-85.17218609
31,32,-85.34156304
33,32,-85.50089112
35,32,-85.6605857
37,32,-85.81621342
39,32,-85.93423415
1,34,-83.52627846
3,34,-82.56246599
5,34,-82.52726243
7,34,-82.76585048
9,34,-83.06340648
11,34,-83.38341803
13,34,-83.62724264
15,34,-83.86550275
17,34,-84.09796229
19,34,-84.42104117
21,34,-84.54056232
23,34,-84.76691232
25,34,-84.94984278
27,34,-85.12008615
29,34,-85.27441602
31,34,-85.44559917
33,34,-85.59794276
35,34,-85.75481924
37,34,-85.91130699
39,34,-86.0362967
1,36,-83.89896828
3,36,-82.77025409
5,36,-82.76613167
7,36,-82.9799816
9,36,-83.27572061
11,36,-83.53165478
13,36,-83.7959789
15,36,-84.03175469
17,36,-84.30898082
19,36,-84.44831013
21,36,-84.73568702
23,36,-84.87310932
25,36,-85.03715362
27,36,-85.23923038
29,36,-85.37967131
31,36,-85.53668684
33,36,-85.71822193
35,36,-85.8589324
37,36,-85.99012729
39,36,-86.14022138
1,38,-84.20835343
3,38,-83.09402118
5,38,-83.002762
7,38,-83.15331339
9,38,-83.39626599
