b,a,delay rising 
29,22,-3.09494E-09
31,22,-2.98199E-09
33,22,-3.01303E-09
35,22,-3.04609E-09
37,22,-3.08042E-09
39,22,-2.96608E-09
1,24,-2.87282E-09
3,24,-3.15139E-09
5,24,-3.02819E-09
7,24,-2.99022E-09
9,24,-3.07705E-09
11,24,-3.07838E-09
13,24,-2.98506E-09
15,24,-3.06838E-09
17,24,-3.03347E-09
19,24,-3.01493E-09
21,24,-3.01021E-09
23,24,-3.01431E-09
25,24,-3.02443E-09
27,24,-3.04016E-09
29,24,-3.06014E-09
31,24,-3.08387E-09
33,24,-2.9682E-09
35,24,-2.99585E-09
37,24,-3.02516E-09
39,24,-3.05608E-09
1,26,-3.02879E-09
3,26,-3.03253E-09
5,26,-3.13157E-09
7,26,-3.07319E-09
9,26,-2.98609E-09
11,26,-2.98096E-09
13,26,-3.02323E-09
15,26,-3.09656E-09
17,26,-3.05157E-09
19,26,-3.02488E-09
21,26,-3.0108E-09
23,26,-3.00784E-09
25,26,-3.01223E-09
27,26,-3.02157E-09
29,26,-3.0356E-09
31,26,-3.05371E-09
33,26,-3.07485E-09
35,26,-3.09893E-09
37,26,-2.98165E-09
39,26,-3.0081E-09
1,28,-3.18471E-09
3,28,-3.1561E-09
5,28,-3.03218E-09
7,28,-2.97995E-09
9,28,-3.05178E-09
11,28,-3.03394E-09
13,28,-3.06493E-09
15,28,-2.98548E-09
17,28,-3.07384E-09
19,28,-3.03917E-09
21,28,-3.01821E-09
23,28,-3.00759E-09
25,28,-3.00595E-09
27,28,-3.01047E-09
29,28,-3.01912E-09
31,28,-3.03077E-09
33,28,-3.04831E-09
35,28,-3.0674E-09
37,28,-3.08879E-09
39,28,-2.96974E-09
1,30,-3.33765E-09
3,30,-3.00246E-09
5,30,-3.1309E-09
7,30,-3.05904E-09
9,30,-3.11894E-09
11,30,-3.08849E-09
13,30,-3.10927E-09
15,30,-3.01897E-09
17,30,-3.10018E-09
19,30,-3.05731E-09
21,30,-3.02978E-09
23,30,-3.01311E-09
25,30,-3.00516E-09
27,30,-3.00433E-09
29,30,-3.00894E-09
31,30,-3.01701E-09
33,30,-3.02904E-09
35,30,-3.04368E-09
37,30,-3.0608E-09
39,30,-3.08031E-09
1,32,-2.90369E-09
3,32,-3.11182E-09
5,32,-3.01005E-09
7,32,-2.95251E-09
9,32,-3.01787E-09
11,32,-2.98544E-09
13,32,-3.00447E-09
15,32,-3.05508E-09
17,32,-2.986E-09
19,32,-3.07882E-09
21,32,-3.0448E-09
23,32,-3.02218E-09
25,32,-3.00816E-09
27,32,-3.00306E-09
29,32,-3.00294E-09
31,32,-3.00762E-09
33,32,-3.01512E-09
35,32,-3.02627E-09
37,32,-3.03962E-09
39,32,-3.05538E-09
1,34,-3.02652E-09
3,34,-2.92514E-09
5,34,-3.09987E-09
7,34,-3.02896E-09
9,34,-3.08263E-09
11,34,-3.03948E-09
13,34,-3.04996E-09
15,34,-3.09324E-09
17,34,-3.01572E-09
19,34,-3.10324E-09
21,34,-3.06257E-09
23,34,-3.03503E-09
25,34,-3.01681E-09
27,34,-3.00515E-09
29,34,-3.00137E-09
31,34,-3.00178E-09
33,34,-3.00646E-09
35,34,-3.01347E-09
37,34,-3.02382E-09
39,34,-3.03611E-09
1,36,-3.15071E-09
3,36,-3.02388E-09
5,36,-2.9597E-09
7,36,-3.10247E-09
9,36,-2.97151E-09
11,36,-3.0943E-09
13,36,-3.09639E-09
15,36,-2.9826E-09
17,36,-3.04756E-09
19,36,-2.98643E-09
21,36,-3.08316E-09
23,36,-3.05011E-09
25,36,-3.02741E-09
27,36,-3.01218E-09
29,36,-3.0028E-09
31,36,-2.99995E-09
33,36,-3.0008E-09
35,36,-3.00543E-09
37,36,-3.01203E-09
39,36,-3.02171E-09
1,38,-3.27089E-09
3,38,-3.12058E-09
5,38,-3.04156E-09
7,38,-2.97689E-09
9,38,-3.03322E-09
11,38,-2.98271E-09
13,38,-2.98518E-09
15,38,-3.02178E-09
17,38,-3.08105E-09
19,38,-3.01315E-09
21,38,-3.10585E-09
23,38,-3.06744E-09
25,38,-3.0402E-09
27,38,-3.02091E-09
29,38,-3.00844E-09
31,38,-3.0009E-09
33,38,-2.99874E-09
35,38,-2.99991E-09
37,38,-3.00451E-09
39,38,-3.01074E-09
1,40,-3.39202E-09
3,40,-3.21784E-09
5,40,-3.12387E-09
7,40,-3.04689E-09
9,40,-3.0949E-09
11,40,-3.03564E-09
13,40,-3.03089E-09
15,40,-3.06166E-09
17,40,-2.96626E-09
19,40,-3.04163E-09
21,40,-2.98681E-09
23,40,-3.08695E-09
25,40,-3.055E-09
27,40,-3.03215E-09
29,40,-3.01559E-09
31,40,-3.00537E-09
33,40,-2.99928E-09
35,40,-2.99773E-09
37,40,-2.99915E-09
39,40,-3.00369E-09
