b,a,power
29,26,-0.01513185
31,26,-0.011376533
33,26,-0.010589679
35,26,-0.010551414
37,26,-0.011969303
39,26,-0.013788683
1,28,-0.001762388
3,28,-0.003843175
5,28,-0.004919123
7,28,-0.005285414
9,28,-0.007493366
11,28,-0.007929459
13,28,-0.008010111
15,28,-0.01018988
17,28,-0.008970027
19,28,-0.012819805
21,28,-0.009051398
23,28,-0.009585435
25,28,-0.008836809
27,28,-0.010088366
29,28,-0.003623193
31,28,-0.009187267
33,28,-0.014215138
35,28,-0.012728203
37,28,-0.010388764
39,28,-0.011801461
1,30,-0.001217441
3,30,-0.003846454
5,30,-0.004993879
7,30,-0.006153019
9,30,-0.007181732
11,30,-0.006627824
13,30,-0.008677548
15,30,-0.009258229
17,30,-0.010275873
19,30,-0.010258922
21,30,-0.01016481
23,30,-0.012251057
25,30,-0.009295943
27,30,-0.010486536
29,30,-0.012429233
31,30,-0.015467085
33,30,-0.016458724
35,30,-0.010226931
37,30,-0.01217267
39,30,-0.013721766
1,32,-0.001538238
3,32,-0.004101419
5,32,-0.004857869
7,32,-0.006173979
9,32,-0.008017561
11,32,-0.008987273
13,32,-0.009290871
15,32,-0.00865566
17,32,-0.011059063
19,32,-0.00817515
21,32,-0.010428905
23,32,-0.010003359
25,32,-0.012139759
27,32,-0.009404117
29,32,-0.011457957
31,32,-0.018785956
33,32,-0.005157886
35,32,-0.017436972
37,32,-0.012768302
39,32,-0.012419126
1,34,-0.001580629
3,34,-0.003275793
5,34,-0.004731756
7,34,-0.006453197
9,34,-0.006333626
11,34,-0.008788981
13,34,-0.009293662
15,34,-0.00994296
17,34,-0.010917357
19,34,-0.01100298
21,34,-0.008728433
23,34,-0.008391264
25,34,-0.011190233
27,34,-0.00981344
29,34,-0.010863837
31,34,-0.01277987
33,34,-0.016707303
35,34,-0.020797233
37,34,-0.009961139
39,34,-0.018797632
1,36,-0.001497159
3,36,-0.003425959
5,36,-0.005210695
7,36,-0.00676388
9,36,-0.00732322
11,36,-0.007229785
13,36,-0.009462407
15,36,-0.010387965
17,36,-0.010860876
19,36,-0.012041164
21,36,-0.015023625
23,36,-0.009381752
25,36,-0.014122161
27,36,-0.014655815
29,36,-0.015353817
31,36,-0.014441447
33,36,-0.013266462
35,36,-0.006796668
37,36,-0.007448059
39,36,-0.026402187
1,38,-0.001244186
3,38,-0.003604384
5,38,-0.005486053
7,38,-0.006846976
9,38,-0.007136052
11,38,-0.008870768
13,38,-0.011285417
15,38,-0.010394344
17,38,-0.010227669
19,38,-0.014212806
21,38,-0.010645845
23,38,-0.015080927
25,38,-0.016671671
27,38,-0.010637787
29,38,-0.013230283
31,38,-0.013619496
33,38,-0.013561455
35,38,-0.014345318
37,38,-0.006638949
39,38,-0.025477529
1,40,-0.001863355
3,40,-0.003257021
5,40,-0.005201932
7,40,-0.006797908
9,40,-0.008587627
11,40,-0.009900414
13,40,-0.009930278
15,40,-0.012658561
17,40,-0.009510009
19,40,-0.013423442
21,40,-0.013250103
23,40,-0.013607861
25,40,-0.015734731
27,40,-0.01326895
29,40,-0.014891384
31,40,-0.010723304
33,40,-0.015903219
35,40,-0.019706664
37,40,-0.016624825
39,40,-0.016956803
